company_name,quote_id,qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
ANA,18574.0,4.0,8.15,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18574.0,36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,18574.0,8.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18574.0,12.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18574.0,12.0,14.5,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18574.0,12.0,14.0,492.0,492.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18574.0,12.0,14.75,492.0,492.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18574.0,4.0,8.15,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18574.0,36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,18574.0,8.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18574.0,12.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18574.0,12.0,14.5,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18574.0,12.0,14.0,492.0,492.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18574.0,12.0,14.75,492.0,492.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18628.0,3.0,42.5,415.0,355.0,48.0,1,0,0,0,0,0,0,0,0,0
ANA,18628.0,2.0,9.5,415.0,355.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,18628.0,3.0,42.5,415.0,355.0,48.0,1,0,0,0,0,0,0,0,0,0
ANA,18628.0,2.0,9.5,415.0,355.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,6.0,7.5,530.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,4.0,7.7,625.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,6.0,8.0,525.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,6.0,7.0,415.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,6.0,7.0,420.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,2.0,9.0,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,2.0,9.0,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,2.0,7.0,510.0,365.0,40.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,3.0,8.0,740.0,345.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,1.0,9.0,725.0,505.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,2.0,9.0,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,1.0,8.5,725.0,510.0,45.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,2.0,9.0,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
APA,17003.0,1.0,7.0,625.0,360.0,45.0,0,0,0,0,0,1,0,0,0,0
